"method","split","acc_mean","acc_std"
"relationnet","train","96.5432098765432","3.3310463119091462"
"relationnet","val","39.01234567901235","14.123802119580333"
"relationnet","test","40.49382716049383","6.177775804047802"
"relationnet","train","74.44444444444446","4.427049291808117"
"relationnet","val","44.44444444444445","4.321208107251123"
"relationnet","test","46.11111111111111","3.7474271008977857"
"relationnet","train","86.03174603174602","1.1878277418329994"
"relationnet","val","56.507936507936506","1.9569568263393595"
"relationnet","test","40.317460317460316","9.784784131696785"
"relationnet","train","100","0"
"relationnet","val","60","10.99943881845741"
"relationnet","test","42.22222222222222","7.751277606094943"
"relationnet","train","92.8888888888889","1.25707872210942"
"relationnet","val","61.333333333333336","9.30153312731393"
"relationnet","test","53.333333333333336","7.138834846315119"
"relationnet","train","92.77777777777777","5.152010275275392"
"relationnet","val","68.88888888888887","6.983225049986961"
"relationnet","test","53.888888888888886","6.431020501550125"
"relationnet","train","68.88888888888889","25.402115851084808"
"relationnet","val","60.74074074074074","7.332959212304938"
"relationnet","test","60.74074074074074","8.574694002066833"
"relationnet","train","90","5.443310539518172"
"relationnet","val","67.77777777777777","22.662308949301266"
"relationnet","test","75.55555555555556","15.947444549341471"
